Month,State,Year,Num_of_Arrivals
July,VIC,1993,29150
July,WA,1993,18680
August,ACT,1993,1280
August,NSW,1993,103620
August,NT,1993,3840
August,QLD,1993,79080
August,SA,1993,3920
August,TAS,1993,790
August,Total,1993,239930
August,VIC,1993,25440
August,WA,1993,19780
September,ACT,1993,2600
September,NSW,1993,99600
September,NT,1993,2950
September,QLD,1993,65700
September,SA,1993,5940
September,TAS,1993,850
September,Total,1993,224030
September,VIC,1993,24720
September,WA,1993,20390
October,ACT,1993,2180
October,NSW,1993,125690
October,NT,1993,3200
October,QLD,1993,73480
October,SA,1993,5550
October,TAS,1993,1420
October,Total,1993,267220
October,VIC,1993,31310
October,WA,1993,21290
November,ACT,1993,2190
November,NSW,1993,116820
November,NT,1993,2660
November,QLD,1993,82340
November,SA,1993,7770
November,TAS,1993,1950
November,Total,1993,285910
November,VIC,1993,42390
November,WA,1993,29800
December,ACT,1993,3160
December,NSW,1993,142900
December,NT,1993,1940
December,QLD,1993,93050
December,SA,1993,9190
December,TAS,1993,3600
December,Total,1993,344040
December,VIC,1993,51670
December,WA,1993,38530
January,ACT,1994,1460
January,NSW,1994,114520
January,NT,1994,1640
January,QLD,1994,65050
January,SA,1994,5770
January,TAS,1994,2190
January,Total,1994,250530
January,VIC,1994,38270
January,WA,1994,21620
February,ACT,1994,2320
February,NSW,1994,134630
February,NT,1994,2270
February,QLD,1994,82990
February,SA,1994,7360
February,TAS,1994,2340
February,Total,1994,304280
February,VIC,1994,43170
February,WA,1994,29210
March,ACT,1994,1780
March,NSW,1994,138580
March,NT,1994,2510
March,QLD,1994,78410
March,SA,1994,6840
March,TAS,1994,1250
March,Total,1994,307400
March,VIC,1994,45380
March,WA,1994,32650
April,ACT,1994,2490
April,NSW,1994,118480
April,NT,1994,2740
April,QLD,1994,68170
April,SA,1994,5870
April,TAS,1994,1150
April,Total,1994,255130
April,VIC,1994,32280
April,WA,1994,23950
May,ACT,1994,1440
May,NSW,1994,91620
May,NT,1994,2470
May,QLD,1994,69520
May,SA,1994,3460
May,TAS,1994,1090
May,Total,1994,214940
May,VIC,1994,25320
May,WA,1994,20030
June,ACT,1994,1700
June,NSW,1994,97760
June,NT,1994,3490
June,QLD,1994,75650
June,SA,1994,3400
June,TAS,1994,740
June,Total,1994,230940
June,VIC,1994,26390
June,WA,1994,21800
July,ACT,1994,2580
July,NSW,1994,126810
July,NT,1994,6160
July,QLD,1994,80290
July,SA,1994,5970
July,TAS,1994,870
July,Total,1994,282510
July,VIC,1994,34140
July,WA,1994,25690
August,ACT,1994,1870
August,NSW,1994,119140
August,NT,1994,4630
August,QLD,1994,83670
August,SA,1994,3760
August,TAS,1994,670
August,Total,1994,265430
August,VIC,1994,27640
August,WA,1994,24060
September,ACT,1994,2090
September,NSW,1994,109200
September,NT,1994,3950
September,QLD,1994,81480
September,SA,1994,4730
September,TAS,1994,760
September,Total,1994,253970
September,VIC,1994,27800
September,WA,1994,23950
October,ACT,1994,2150
October,NSW,1994,127760
October,NT,1994,5510
October,QLD,1994,88050
October,SA,1994,6480
October,TAS,1994,1160
October,Total,1994,301590
October,VIC,1994,40960
October,WA,1994,29520
November,ACT,1994,2110
November,NSW,1994,131050
November,NT,1994,3570
November,QLD,1994,89540
November,SA,1994,8430
November,TAS,1994,1970
November,Total,1994,311000
November,VIC,1994,41440
November,WA,1994,32880
December,ACT,1994,3020
December,NSW,1994,158500
December,NT,1994,3310
December,QLD,1994,107820
December,SA,1994,7840
December,TAS,1994,3800
December,Total,1994,384010
December,VIC,1994,55940
December,WA,1994,43800
January,ACT,1995,2800
January,NSW,1995,133300
January,NT,1995,2330
January,QLD,1995,87520
January,SA,1995,6750
January,TAS,1995,2620
January,Total,1995,303760
January,VIC,1995,41240
January,WA,1995,27210
February,ACT,1995,3380
February,NSW,1995,142740
February,NT,1995,2360
February,QLD,1995,80650
February,SA,1995,6550
February,TAS,1995,2260
February,Total,1995,319050
February,VIC,1995,52460
February,WA,1995,28120
March,ACT,1995,2160
March,NSW,1995,137900
March,NT,1995,2720
March,QLD,1995,86180
March,SA,1995,7640
March,TAS,1995,1860
March,Total,1995,313540
March,VIC,1995,43940
March,WA,1995,30270
April,ACT,1995,2440
April,NSW,1995,125210
April,NT,1995,3280
April,QLD,1995,84590
April,SA,1995,6610
April,TAS,1995,1880
April,Total,1995,294160
April,VIC,1995,41690
April,WA,1995,27780
May,ACT,1995,1530
May,NSW,1995,102460
May,NT,1995,4240
May,QLD,1995,82140
May,SA,1995,3260
May,TAS,1995,1010
May,Total,1995,244810
May,VIC,1995,27730
May,WA,1995,21640
June,ACT,1995,1720
June,NSW,1995,108050
June,NT,1995,3700
June,QLD,1995,89720
June,SA,1995,4010
June,TAS,1995,880
June,Total,1995,261440
June,VIC,1995,27780
June,WA,1995,24790
July,ACT,1995,2560
July,NSW,1995,149380
July,NT,1995,5180
July,QLD,1995,102340
July,SA,1995,5410
July,TAS,1995,1080
July,Total,1995,329740
July,VIC,1995,38500
July,WA,1995,24480
August,ACT,1995,1990
August,NSW,1995,128760
August,NT,1995,5090
August,QLD,1995,106800
August,SA,1995,5000
August,TAS,1995,890
August,Total,1995,304900
August,VIC,1995,30790
August,WA,1995,24840
September,ACT,1995,2140
September,NSW,1995,118590
September,NT,1995,4050
September,QLD,1995,81090
September,SA,1995,5090
September,TAS,1995,1150
September,Total,1995,268570
September,VIC,1995,31010
September,WA,1995,24630
October,ACT,1995,2090
October,NSW,1995,143850
October,NT,1995,5440
October,QLD,1995,91430
October,SA,1995,6640
October,TAS,1995,1440
October,Total,1995,320660
October,VIC,1995,38990
October,WA,1995,30330
November,ACT,1995,2610
November,NSW,1995,145610
November,NT,1995,3920
November,QLD,1995,97970
November,SA,1995,8750
November,TAS,1995,2220
November,Total,1995,342930
November,VIC,1995,47360
November,WA,1995,33660
December,ACT,1995,3030
December,NSW,1995,176570
December,NT,1995,2860
December,QLD,1995,120020
December,SA,1995,8570
December,TAS,1995,4590
December,Total,1995,422260
December,VIC,1995,58720
December,WA,1995,46800
January,ACT,1996,2200
January,NSW,1996,141870
January,NT,1996,2850
January,QLD,1996,92130
January,SA,1996,6440
January,TAS,1996,1830
January,Total,1996,317210
January,VIC,1996,45160
January,WA,1996,24250
February,ACT,1996,3210
February,NSW,1996,171700
February,NT,1996,2470
February,QLD,1996,108830
February,SA,1996,7980
February,TAS,1996,2690
February,Total,1996,392690
February,VIC,1996,55570
February,WA,1996,39640
March,ACT,1996,2910
March,NSW,1996,161280
March,NT,1996,2660
March,QLD,1996,105400
March,SA,1996,7970
March,TAS,1996,2120
March,Total,1996,365550
March,VIC,1996,51670
March,WA,1996,31010
April,ACT,1996,2660
April,NSW,1996,149170
April,NT,1996,2440
April,QLD,1996,95560
April,SA,1996,6630
April,TAS,1996,1420
April,Total,1996,333200
April,VIC,1996,42580
April,WA,1996,32270
May,ACT,1996,1730
May,NSW,1996,108580
May,NT,1996,3530
May,QLD,1996,84920
May,SA,1996,5500
May,TAS,1996,880
May,Total,1996,261510
May,VIC,1996,33260
May,WA,1996,22550
June,ACT,1996,1910
June,NSW,1996,124570
June,NT,1996,4540
June,QLD,1996,106150
June,SA,1996,4520
June,TAS,1996,860
June,Total,1996,306930
June,VIC,1996,37570
June,WA,1996,26720
July,ACT,1996,2980
July,NSW,1996,145140
July,NT,1996,6090
July,QLD,1996,123080
July,SA,1996,6540
July,TAS,1996,890
July,Total,1996,358230
July,VIC,1996,44630
July,WA,1996,28780
August,ACT,1996,1820
August,NSW,1996,138650
August,NT,1996,4140
August,QLD,1996,114960
August,SA,1996,5240
August,TAS,1996,890
August,Total,1996,329240
August,VIC,1996,34250
August,WA,1996,28950
September,ACT,1996,2810
September,NSW,1996,126370
September,NT,1996,4360
September,QLD,1996,105140
September,SA,1996,5480
September,TAS,1996,910
September,Total,1996,309160
September,VIC,1996,36340
September,WA,1996,27540
October,ACT,1996,2760
October,NSW,1996,150010
October,NT,1996,5590
October,QLD,1996,101760
October,SA,1996,8750
October,TAS,1996,1390
October,Total,1996,350360
October,VIC,1996,45360
October,WA,1996,34460
November,ACT,1996,2360
November,NSW,1996,162720
November,NT,1996,4430
November,QLD,1996,105530
November,SA,1996,7950
November,TAS,1996,2100
November,Total,1996,375570
November,VIC,1996,52770
November,WA,1996,37270
December,ACT,1996,2780
December,NSW,1996,195580
December,NT,1996,3480
December,QLD,1996,136260
December,SA,1996,10410
December,TAS,1996,2520
December,Total,1996,465180
December,VIC,1996,63930
December,WA,1996,49430
