Month,State,Year,Num_of_Arrivals
March,ACT,2002,4320
March,NSW,2002,182270
March,NT,2002,5120
March,QLD,2002,112280
March,SA,2002,11090
March,TAS,2002,3230
March,Total,2002,446500
March,VIC,2002,82000
March,WA,2002,46040
April,ACT,2002,4010
April,NSW,2002,152000
April,NT,2002,4800
April,QLD,2002,98320
April,SA,2002,7400
April,TAS,2002,1540
April,Total,2002,360310
April,VIC,2002,59230
April,WA,2002,32980
May,ACT,2002,2970
May,NSW,2002,133540
May,NT,2002,4790
May,QLD,2002,97660
May,SA,2002,5850
May,TAS,2002,1340
May,Total,2002,329950
May,VIC,2002,53780
May,WA,2002,30000
June,ACT,2002,3220
June,NSW,2002,126950
June,NT,2002,5340
June,QLD,2002,117080
June,SA,2002,5340
June,TAS,2002,1800
June,Total,2002,339390
June,VIC,2002,49000
June,WA,2002,30660
July,ACT,2002,4920
July,NSW,2002,162930
July,NT,2002,6430
July,QLD,2002,131800
July,SA,2002,10220
July,TAS,2002,1300
July,Total,2002,418160
July,VIC,2002,66780
July,WA,2002,33600
August,ACT,2002,2810
August,NSW,2002,146170
August,NT,2002,6710
August,QLD,2002,119760
August,SA,2002,8140
August,TAS,2002,1370
August,Total,2002,371940
August,VIC,2002,55000
August,WA,2002,31970
September,ACT,2002,2900
September,NSW,2002,137380
September,NT,2002,6420
September,QLD,2002,110640
September,SA,2002,6940
September,TAS,2002,1270
September,Total,2002,358570
September,VIC,2002,58250
September,WA,2002,34740
October,ACT,2002,4270
October,NSW,2002,173850
October,NT,2002,5500
October,QLD,2002,120690
October,SA,2002,8450
October,TAS,2002,2200
October,Total,2002,428860
October,VIC,2002,71010
October,WA,2002,42900
November,ACT,2002,3500
November,NSW,2002,170310
November,NT,2002,5620
November,QLD,2002,122380
November,SA,2002,12220
November,TAS,2002,3190
November,Total,2002,437020
November,VIC,2002,71640
November,WA,2002,48100
December,ACT,2002,4550
December,NSW,2002,217700
December,NT,2002,3860
December,QLD,2002,130670
December,SA,2002,15050
December,TAS,2002,5590
December,Total,2002,533970
December,VIC,2002,96260
December,WA,2002,60280
January,ACT,2003,4100
January,NSW,2003,163840
January,NT,2003,3060
January,QLD,2003,103470
January,SA,2003,9160
January,TAS,2003,3590
January,Total,2003,396650
January,VIC,2003,70800
January,WA,2003,38610
February,ACT,2003,4820
February,NSW,2003,173750
February,NT,2003,3700
February,QLD,2003,101110
February,SA,2003,11400
February,TAS,2003,5490
February,Total,2003,427480
February,VIC,2003,83700
February,WA,2003,43520
March,ACT,2003,3700
March,NSW,2003,158770
March,NT,2003,3690
March,QLD,2003,97870
March,SA,2003,10500
March,TAS,2003,3160
March,Total,2003,392470
March,VIC,2003,74060
March,WA,2003,40680
April,ACT,2003,3390
April,NSW,2003,129290
April,NT,2003,2820
April,QLD,2003,91830
April,SA,2003,7640
April,TAS,2003,2440
April,Total,2003,321510
April,VIC,2003,51400
April,WA,2003,32710
May,ACT,2003,2260
May,NSW,2003,102650
May,NT,2003,4620
May,QLD,2003,79590
May,SA,2003,5220
May,TAS,2003,1440
May,Total,2003,260900
May,VIC,2003,40130
May,WA,2003,24990
June,ACT,2003,2840
June,NSW,2003,116150
June,NT,2003,4470
June,QLD,2003,99630
June,SA,2003,6110
June,TAS,2003,1450
June,Total,2003,308270
June,VIC,2003,49120
June,WA,2003,28450
July,ACT,2003,4560
July,NSW,2003,163600
July,NT,2003,5390
July,QLD,2003,131360
July,SA,2003,10140
July,TAS,2003,1310
July,Total,2003,415510
July,VIC,2003,63160
July,WA,2003,35980
August,ACT,2003,3040
August,NSW,2003,138100
August,NT,2003,5060
August,QLD,2003,121170
August,SA,2003,7880
August,TAS,2003,1580
August,Total,2003,362250
August,VIC,2003,52890
August,WA,2003,32510
September,ACT,2003,3360
September,NSW,2003,147840
September,NT,2003,5000
September,QLD,2003,119910
September,SA,2003,8510
September,TAS,2003,2220
September,Total,2003,385600
September,VIC,2003,57630
September,WA,2003,41130
October,ACT,2003,4910
October,NSW,2003,167670
October,NT,2003,4790
October,QLD,2003,123400
October,SA,2003,9900
October,TAS,2003,2360
October,Total,2003,435330
October,VIC,2003,73630
October,WA,2003,48570
November,ACT,2003,4270
November,NSW,2003,195020
November,NT,2003,3780
November,QLD,2003,127950
November,SA,2003,10310
November,TAS,2003,3810
November,Total,2003,473280
November,VIC,2003,83350
November,WA,2003,44670
December,ACT,2003,5670
December,NSW,2003,229690
December,NT,2003,3840
December,QLD,2003,142290
December,SA,2003,15220
December,TAS,2003,5970
December,Total,2003,566600
December,VIC,2003,104110
December,WA,2003,59430
January,ACT,2004,4550
January,NSW,2004,165800
January,NT,2004,3310
January,QLD,2004,117420
January,SA,2004,10870
January,TAS,2004,4390
January,Total,2004,420170
January,VIC,2004,74140
January,WA,2004,39680
February,ACT,2004,5690
February,NSW,2004,183590
February,NT,2004,3380
February,QLD,2004,113410
February,SA,2004,12730
February,TAS,2004,6580
February,Total,2004,454820
February,VIC,2004,86430
February,WA,2004,43010
March,ACT,2004,4290
March,NSW,2004,168630
March,NT,2004,3180
March,QLD,2004,114230
March,SA,2004,12000
March,TAS,2004,3520
March,Total,2004,432280
March,VIC,2004,83340
March,WA,2004,43070
April,ACT,2004,4870
April,NSW,2004,157720
April,NT,2004,3060
April,QLD,2004,115940
April,SA,2004,10770
April,TAS,2004,2240
April,Total,2004,402790
April,VIC,2004,69800
April,WA,2004,38390
May,ACT,2004,3430
May,NSW,2004,134780
May,NT,2004,4750
May,QLD,2004,106560
May,SA,2004,7090
May,TAS,2004,1390
May,Total,2004,341260
May,VIC,2004,55640
May,WA,2004,27610
June,ACT,2004,3740
June,NSW,2004,133860
June,NT,2004,5310
June,QLD,2004,127730
June,SA,2004,5910
June,TAS,2004,1450
June,Total,2004,367280
June,VIC,2004,59830
June,WA,2004,29430
July,ACT,2004,5140
July,NSW,2004,171830
July,NT,2004,6530
July,QLD,2004,158110
July,SA,2004,11090
July,TAS,2004,1900
July,Total,2004,467550
July,VIC,2004,77410
July,WA,2004,35550
August,ACT,2004,3260
August,NSW,2004,153030
August,NT,2004,6810
August,QLD,2004,137040
August,SA,2004,7960
August,TAS,2004,1460
August,Total,2004,403060
August,VIC,2004,61030
August,WA,2004,32460
September,ACT,2004,3730
September,NSW,2004,143770
September,NT,2004,6850
September,QLD,2004,132640
September,SA,2004,8490
September,TAS,2004,1770
September,Total,2004,393510
September,VIC,2004,60610
September,WA,2004,35660
October,ACT,2004,3580
October,NSW,2004,170030
October,NT,2004,5900
October,QLD,2004,136120
October,SA,2004,10220
October,TAS,2004,2170
October,Total,2004,447380
October,VIC,2004,77520
October,WA,2004,41830
November,ACT,2004,3370
November,NSW,2004,184890
November,NT,2004,4090
November,QLD,2004,134390
November,SA,2004,10440
November,TAS,2004,3250
November,Total,2004,478020
November,VIC,2004,88740
November,WA,2004,48850
December,ACT,2004,5660
December,NSW,2004,235480
December,NT,2004,3210
December,QLD,2004,153380
December,SA,2004,17510
December,TAS,2004,5410
December,Total,2004,591390
December,VIC,2004,108300
December,WA,2004,62440
January,ACT,2005,3860
January,NSW,2005,193910
January,NT,2005,3630
January,QLD,2005,118720
January,SA,2005,10600
January,TAS,2005,3170
January,Total,2005,456920
January,VIC,2005,83440
January,WA,2005,39560
February,ACT,2005,4950
February,NSW,2005,201750
February,NT,2005,2880
February,QLD,2005,123730
February,SA,2005,13190
February,TAS,2005,4520
February,Total,2005,498780
February,VIC,2005,99010
February,WA,2005,48760
March,ACT,2005,4120
March,NSW,2005,201640
March,NT,2005,3150
March,QLD,2005,130010
March,SA,2005,13270
March,TAS,2005,3260
March,Total,2005,502090
March,VIC,2005,94600
March,WA,2005,52030
April,ACT,2005,4210
April,NSW,2005,163380
April,NT,2005,3330
April,QLD,2005,117000
April,SA,2005,9840
April,TAS,2005,2240
April,Total,2005,406580
April,VIC,2005,69920
April,WA,2005,36660
May,ACT,2005,2720
May,NSW,2005,134080
May,NT,2005,5840
May,QLD,2005,108240
May,SA,2005,8210
May,TAS,2005,1470
May,Total,2005,351290
May,VIC,2005,58870
May,WA,2005,31850
June,ACT,2005,2940
June,NSW,2005,141600
June,NT,2005,4450
June,QLD,2005,128540
June,SA,2005,7020
June,TAS,2005,1240
June,Total,2005,377010
June,VIC,2005,58530
June,WA,2005,32700
July,ACT,2005,3940
July,NSW,2005,189340
July,NT,2005,6370
July,QLD,2005,169640
July,SA,2005,11510
July,TAS,2005,2210
July,Total,2005,497040
July,VIC,2005,78380
July,WA,2005,35660
August,ACT,2005,2990
August,NSW,2005,162740
August,NT,2005,6510
August,QLD,2005,147330
August,SA,2005,8320
August,TAS,2005,1320
August,Total,2005,429260
August,VIC,2005,66630
August,WA,2005,33420
September,ACT,2005,3910
September,NSW,2005,155720
September,NT,2005,5880
September,QLD,2005,134860
September,SA,2005,9950
September,TAS,2005,1760
September,Total,2005,412070
September,VIC,2005,61210
September,WA,2005,38770
October,ACT,2005,3740
October,NSW,2005,175440
October,NT,2005,5040
October,QLD,2005,136840
October,SA,2005,10260
October,TAS,2005,2430
October,Total,2005,461870
October,VIC,2005,82660
October,WA,2005,45460
November,ACT,2005,3630
November,NSW,2005,184280
November,NT,2005,4200
November,QLD,2005,129270
November,SA,2005,10440
November,TAS,2005,3250
November,Total,2005,470670
November,VIC,2005,89110
November,WA,2005,46470
December,ACT,2005,5150
December,NSW,2005,237650
December,NT,2005,4330
December,QLD,2005,151570
December,SA,2005,17360
December,TAS,2005,5210
December,Total,2005,599250
December,VIC,2005,113550
December,WA,2005,64430
January,ACT,2006,3660
January,NSW,2006,183220
January,NT,2006,3530
January,QLD,2006,121930
January,SA,2006,10990
January,TAS,2006,4470
January,Total,2006,461400
January,VIC,2006,89970
January,WA,2006,43620
February,ACT,2006,4890
February,NSW,2006,199280
February,NT,2006,2800
February,QLD,2006,116970
February,SA,2006,15080
February,TAS,2006,4970
February,Total,2006,485000
February,VIC,2006,94720
February,WA,2006,46290
March,ACT,2006,3850
March,NSW,2006,186520
March,NT,2006,3770
March,QLD,2006,121600
March,SA,2006,14640
March,TAS,2006,4050
March,Total,2006,473440
March,VIC,2006,94890
March,WA,2006,44130
April,ACT,2006,3470
April,NSW,2006,174950
April,NT,2006,4590
April,QLD,2006,120540
April,SA,2006,11570
April,TAS,2006,2670
April,Total,2006,435040
April,VIC,2006,76970
April,WA,2006,40270
May,ACT,2006,2660
May,NSW,2006,131030
May,NT,2006,5210
May,QLD,2006,106050
May,SA,2006,8520
May,TAS,2006,1350
May,Total,2006,342940
May,VIC,2006,59980
May,WA,2006,28130
June,ACT,2006,3550
June,NSW,2006,139550
June,NT,2006,4510
June,QLD,2006,130580
June,SA,2006,8360
June,TAS,2006,1730
June,Total,2006,379660
June,VIC,2006,61530
June,WA,2006,29850
July,ACT,2006,4880
July,NSW,2006,180390
July,NT,2006,7270
July,QLD,2006,159900
July,SA,2006,12250
July,TAS,2006,2090
July,Total,2006,478190
July,VIC,2006,75910
July,WA,2006,35510
August,ACT,2006,2910
August,NSW,2006,153620
August,NT,2006,7400
August,QLD,2006,136790
August,SA,2006,10430
August,TAS,2006,1960
August,Total,2006,410200
August,VIC,2006,65270
August,WA,2006,31820
September,ACT,2006,3590
September,NSW,2006,155370
September,NT,2006,5530
September,QLD,2006,143670
September,SA,2006,10010
September,TAS,2006,1820
September,Total,2006,423460
September,VIC,2006,69370
September,WA,2006,34090
October,ACT,2006,3840
October,NSW,2006,184600
October,NT,2006,5440
October,QLD,2006,134380
October,SA,2006,11500
October,TAS,2006,3230
October,Total,2006,472930
October,VIC,2006,81860
October,WA,2006,48050
November,ACT,2006,5220
November,NSW,2006,194160
November,NT,2006,4440
November,QLD,2006,131770
November,SA,2006,12600
November,TAS,2006,3340
November,Total,2006,489990
November,VIC,2006,89920
November,WA,2006,48530
December,ACT,2006,5300
December,NSW,2006,250830
December,NT,2006,3300
December,QLD,2006,152070
December,SA,2006,21490
December,TAS,2006,5480
December,Total,2006,640870
December,VIC,2006,128030
December,WA,2006,74350
January,ACT,2007,4280
January,NSW,2007,184170
January,NT,2007,3210
January,QLD,2007,112290
January,SA,2007,13340
January,TAS,2007,4080
January,Total,2007,451030
January,VIC,2007,86480
January,WA,2007,43150
February,ACT,2007,4890
February,NSW,2007,207050
February,NT,2007,3570
February,QLD,2007,120330
February,SA,2007,16070
February,TAS,2007,5300
February,Total,2007,510170
February,VIC,2007,101570
February,WA,2007,51400
March,ACT,2007,4180
March,NSW,2007,207800
March,NT,2007,3790
March,QLD,2007,125380
March,SA,2007,21450
March,TAS,2007,3960
March,Total,2007,520020
March,VIC,2007,102970
March,WA,2007,50500
April,ACT,2007,3980
April,NSW,2007,174790
April,NT,2007,4250
April,QLD,2007,116730
April,SA,2007,12230
April,TAS,2007,2090
April,Total,2007,434940
April,VIC,2007,77330
April,WA,2007,43550
May,ACT,2007,2900
May,NSW,2007,139620
May,NT,2007,6620
May,QLD,2007,106120
May,SA,2007,8210
May,TAS,2007,1560
May,Total,2007,364730
May,VIC,2007,66720
May,WA,2007,32990
June,ACT,2007,2780
June,NSW,2007,146460
June,NT,2007,4700
June,QLD,2007,131890
June,SA,2007,7920
June,TAS,2007,1670
June,Total,2007,397960
June,VIC,2007,70080
June,WA,2007,32460
July,ACT,2007,5600
July,NSW,2007,181440
July,NT,2007,8670
July,QLD,2007,153830
July,SA,2007,13710
July,TAS,2007,2150
July,Total,2007,482790
July,VIC,2007,78660
July,WA,2007,38730
August,ACT,2007,3980
August,NSW,2007,163070
August,NT,2007,7800
August,QLD,2007,139900
August,SA,2007,9890
August,TAS,2007,1610
August,Total,2007,434750
August,VIC,2007,70250
August,WA,2007,38250
September,ACT,2007,4170
September,NSW,2007,161210
September,NT,2007,6760
September,QLD,2007,140060
September,SA,2007,11610
September,TAS,2007,2180
September,Total,2007,434110
September,VIC,2007,66300
September,WA,2007,41810
October,ACT,2007,4650
October,NSW,2007,175810
October,NT,2007,6780
October,QLD,2007,135910
October,SA,2007,13170
October,TAS,2007,2130
October,Total,2007,468840
October,VIC,2007,82560
October,WA,2007,47830
November,ACT,2007,5130
November,NSW,2007,196010
November,NT,2007,5160
November,QLD,2007,130630
November,SA,2007,14000
November,TAS,2007,3060
November,Total,2007,499210
November,VIC,2007,93610
November,WA,2007,51610
December,ACT,2007,5950
December,NSW,2007,243200
December,NT,2007,5150
December,QLD,2007,148830
December,SA,2007,19530
December,TAS,2007,4800
December,Total,2007,614830
December,VIC,2007,116900
December,WA,2007,70380
January,ACT,2008,4250
January,NSW,2008,182160
January,NT,2008,3770
January,QLD,2008,105440
January,SA,2008,13560
January,TAS,2008,3670
January,Total,2008,440630
January,VIC,2008,85100
January,WA,2008,42640
February,ACT,2008,5930
February,NSW,2008,226880
February,NT,2008,3600
February,QLD,2008,126730
February,SA,2008,16920
February,TAS,2008,5600
February,Total,2008,546410
February,VIC,2008,107130
February,WA,2008,53600
March,ACT,2008,5150
March,NSW,2008,204300
March,NT,2008,4070
March,QLD,2008,122080
March,SA,2008,16830
March,TAS,2008,3780
March,Total,2008,513720
March,VIC,2008,102600
March,WA,2008,54880
April,ACT,2008,3900
April,NSW,2008,166570
April,NT,2008,4550
April,QLD,2008,110660
April,SA,2008,12590
April,TAS,2008,2530
April,Total,2008,424310
April,VIC,2008,81270
April,WA,2008,42240
May,ACT,2008,3220
May,NSW,2008,144200
May,NT,2008,6990
May,QLD,2008,112620
May,SA,2008,8510
May,TAS,2008,1990
May,Total,2008,380020
May,VIC,2008,69490
May,WA,2008,33020
June,ACT,2008,3770
June,NSW,2008,138310
June,NT,2008,10130
June,QLD,2008,117720
June,SA,2008,9520
June,TAS,2008,1800
June,Total,2008,382460
June,VIC,2008,66120
June,WA,2008,35090
July,ACT,2008,6430
July,NSW,2008,217450
July,NT,2008,11190
July,QLD,2008,149300
July,SA,2008,13650
July,TAS,2008,2030
July,Total,2008,530450
July,VIC,2008,90180
July,WA,2008,40220
August,ACT,2008,4600
August,NSW,2008,158180
August,NT,2008,7820
August,QLD,2008,131570
August,SA,2008,12400
August,TAS,2008,2180
August,Total,2008,418750
August,VIC,2008,67240
August,WA,2008,34770
September,ACT,2008,3770
September,NSW,2008,146090
September,NT,2008,7440
September,QLD,2008,123350
September,SA,2008,10370
September,TAS,2008,1920
September,Total,2008,400010
September,VIC,2008,67740
September,WA,2008,39330
October,ACT,2008,4630
October,NSW,2008,166460
October,NT,2008,5810
October,QLD,2008,139450
October,SA,2008,12190
October,TAS,2008,2340
October,Total,2008,455740
October,VIC,2008,80090
October,WA,2008,44770
November,ACT,2008,5730
November,NSW,2008,178360
November,NT,2008,6960
November,QLD,2008,120880
November,SA,2008,13150
November,TAS,2008,3380
November,Total,2008,470350
November,VIC,2008,93140
November,WA,2008,48730
December,ACT,2008,5520
December,NSW,2008,241970
December,NT,2008,5150
December,QLD,2008,141350
December,SA,2008,18170
December,TAS,2008,5840
December,Total,2008,611800
December,VIC,2008,124840
December,WA,2008,68970
January,ACT,2009,4780
January,NSW,2009,181760
January,NT,2009,3880
January,QLD,2009,105990
January,SA,2009,13370
January,TAS,2009,4570
January,Total,2009,451880
January,VIC,2009,90440
January,WA,2009,47110
February,ACT,2009,6920
February,NSW,2009,203630
February,NT,2009,4110
February,QLD,2009,107680
February,SA,2009,16660
February,TAS,2009,5000
February,Total,2009,501770
February,VIC,2009,105170
February,WA,2009,52590
March,ACT,2009,4610
March,NSW,2009,190670
March,NT,2009,3860
March,QLD,2009,112120
March,SA,2009,15210
March,TAS,2009,4580
March,Total,2009,486840
March,VIC,2009,102640
March,WA,2009,53130
April,ACT,2009,4340
April,NSW,2009,177100
April,NT,2009,5290
April,QLD,2009,116040
April,SA,2009,11870
April,TAS,2009,3130
April,Total,2009,452830
April,VIC,2009,88290
April,WA,2009,46780
May,ACT,2009,3560
May,NSW,2009,136490
May,NT,2009,7000
May,QLD,2009,105920
May,SA,2009,9380
May,TAS,2009,1970
May,Total,2009,372920
May,VIC,2009,70830
May,WA,2009,37780
June,ACT,2009,3880
June,NSW,2009,128640
June,NT,2009,6930
June,QLD,2009,108070
June,SA,2009,9270
June,TAS,2009,1650
June,Total,2009,362280
June,VIC,2009,66130
June,WA,2009,37710
July,ACT,2009,5940
July,NSW,2009,164190
July,NT,2009,12080
July,QLD,2009,135840
July,SA,2009,14230
July,TAS,2009,1840
July,Total,2009,458960
July,VIC,2009,82930
July,WA,2009,41910
August,ACT,2009,4360
August,NSW,2009,156840
August,NT,2009,7360
August,QLD,2009,123710
August,SA,2009,9460
August,TAS,2009,1890
August,Total,2009,413160
August,VIC,2009,71940
August,WA,2009,37590
September,ACT,2009,4540
September,NSW,2009,157060
September,NT,2009,7490
September,QLD,2009,128250
September,SA,2009,12500
September,TAS,2009,2370
September,Total,2009,437290
September,VIC,2009,76720
September,WA,2009,48360
October,ACT,2009,4200
October,NSW,2009,183700
October,NT,2009,6250
October,QLD,2009,138330
October,SA,2009,12310
October,TAS,2009,2720
October,Total,2009,484820
October,VIC,2009,90440
October,WA,2009,46880
November,ACT,2009,5170
November,NSW,2009,181810
November,NT,2009,5310
November,QLD,2009,124050
November,SA,2009,14130
November,TAS,2009,2880
November,Total,2009,485250
November,VIC,2009,96670
November,WA,2009,55210
December,ACT,2009,5800
December,NSW,2009,259890
December,NT,2009,4970
December,QLD,2009,142670
December,SA,2009,20110
December,TAS,2009,5630
December,Total,2009,649360
December,VIC,2009,139620
December,WA,2009,70670
January,ACT,2010,5400
January,NSW,2010,184810
January,NT,2010,3920
January,QLD,2010,99120
January,SA,2010,12670
January,TAS,2010,3610
January,Total,2010,448710
January,VIC,2010,93510
January,WA,2010,45680
February,ACT,2010,7320
February,NSW,2010,224490
February,NT,2010,4640
February,QLD,2010,122950
February,SA,2010,17400
February,TAS,2010,5620
February,Total,2010,560130
February,VIC,2010,122730
February,WA,2010,54970
March,ACT,2010,5660
March,NSW,2010,204450
March,NT,2010,4030
March,QLD,2010,120730
March,SA,2010,17700
March,TAS,2010,4300
March,Total,2010,526330
March,VIC,2010,112440
March,WA,2010,57020
April,ACT,2010,4120
April,NSW,2010,165850
April,NT,2010,5010
April,QLD,2010,106910
April,SA,2010,13910
April,TAS,2010,2190
April,Total,2010,428900
April,VIC,2010,85570
April,WA,2010,45310
May,ACT,2010,3630
May,NSW,2010,144250
May,NT,2010,5750
May,QLD,2010,96990
May,SA,2010,9780
May,TAS,2010,1920
May,Total,2010,374960
May,VIC,2010,75900
May,WA,2010,36720
June,ACT,2010,4130
June,NSW,2010,144480
June,NT,2010,5770
June,QLD,2010,117670
June,SA,2010,10340
June,TAS,2010,1930
June,Total,2010,403700
June,VIC,2010,79790
June,WA,2010,39580
July,ACT,2010,6270
July,NSW,2010,182360
July,NT,2010,8320
July,QLD,2010,154640
July,SA,2010,14590
July,TAS,2010,2430
July,Total,2010,510930
July,VIC,2010,99920
July,WA,2010,42390
August,ACT,2010,5140
August,NSW,2010,166860
August,NT,2010,8960
August,QLD,2010,131470
August,SA,2010,10270
August,TAS,2010,1610
August,Total,2010,451310
August,VIC,2010,86850
August,WA,2010,40130
September,ACT,2010,3960
September,NSW,2010,173780
September,NT,2010,6400
September,QLD,2010,132320
September,SA,2010,11820
September,TAS,2010,2250
September,Total,2010,475680
September,VIC,2010,93410
September,WA,2010,51750
October,ACT,2010,5490
October,NSW,2010,184540
October,NT,2010,5790
October,QLD,2010,130130
October,SA,2010,12260
October,TAS,2010,2810
October,Total,2010,494460
October,VIC,2010,103230
October,WA,2010,50220
November,ACT,2010,4670
November,NSW,2010,194320
November,NT,2010,4460
November,QLD,2010,126890
November,SA,2010,14060
November,TAS,2010,3450
November,Total,2010,518090
November,VIC,2010,113810
November,WA,2010,56440
December,ACT,2010,5750
December,NSW,2010,265450
December,NT,2010,4650
December,QLD,2010,147690
December,SA,2010,20140
December,TAS,2010,6100
December,Total,2010,678360
December,VIC,2010,152220
December,WA,2010,76360
January,ACT,2011,4100
January,NSW,2011,196020
January,NT,2011,3690
January,QLD,2011,96150
January,SA,2011,13210
January,TAS,2011,4380
January,Total,2011,473780
January,VIC,2011,107630
January,WA,2011,48600
February,ACT,2011,6830
February,NSW,2011,225040
February,NT,2011,4430
February,QLD,2011,111790
February,SA,2011,17940
February,TAS,2011,5910
February,Total,2011,565140
February,VIC,2011,132050
February,WA,2011,61160
March,ACT,2011,4940
March,NSW,2011,196410
March,NT,2011,5450
March,QLD,2011,102840
March,SA,2011,15560
March,TAS,2011,3360
March,Total,2011,500100
March,VIC,2011,116170
March,WA,2011,55360
April,ACT,2011,4500
April,NSW,2011,175120
April,NT,2011,5090
April,QLD,2011,107820
April,SA,2011,15090
April,TAS,2011,2870
April,Total,2011,460320
April,VIC,2011,97950
April,WA,2011,51890
May,ACT,2011,3670
May,NSW,2011,141050
May,NT,2011,6300
May,QLD,2011,100180
May,SA,2011,8570
May,TAS,2011,2000
May,Total,2011,384520
May,VIC,2011,83580
May,WA,2011,39160
June,ACT,2011,4210
June,NSW,2011,137620
June,NT,2011,5700
June,QLD,2011,106370
June,SA,2011,9370
June,TAS,2011,1670
June,Total,2011,387680
June,VIC,2011,82930
June,WA,2011,39800
July,ACT,2011,6390
July,NSW,2011,175730
July,NT,2011,11000
July,QLD,2011,151580
July,SA,2011,13340
July,TAS,2011,2020
July,Total,2011,505640
July,VIC,2011,100140
July,WA,2011,45430
August,ACT,2011,3880
August,NSW,2011,168820
August,NT,2011,7030
August,QLD,2011,133510
August,SA,2011,10710
August,TAS,2011,1630
August,Total,2011,467010
August,VIC,2011,94720
August,WA,2011,46720
September,ACT,2011,5240
September,NSW,2011,161770
September,NT,2011,5730
September,QLD,2011,113180
September,SA,2011,11590
September,TAS,2011,2020
September,Total,2011,431040
September,VIC,2011,83270
September,WA,2011,48250
October,ACT,2011,4930
October,NSW,2011,189450
October,NT,2011,5480
October,QLD,2011,130510
October,SA,2011,12530
October,TAS,2011,2880
October,Total,2011,499530
October,VIC,2011,102540
October,WA,2011,51200
November,ACT,2011,6830
November,NSW,2011,195730
November,NT,2011,5020
November,QLD,2011,118370
November,SA,2011,13310
November,TAS,2011,4240
November,Total,2011,522760
November,VIC,2011,118920
November,WA,2011,60330
December,ACT,2011,7260
December,NSW,2011,261820
December,NT,2011,3840
December,QLD,2011,145190
December,SA,2011,20540
December,TAS,2011,7380
December,Total,2011,674790
December,VIC,2011,155980
December,WA,2011,72770
January,ACT,2012,4820
January,NSW,2012,193270
January,NT,2012,4060
January,QLD,2012,107970
January,SA,2012,16600
January,TAS,2012,4260
January,Total,2012,501990
January,VIC,2012,117370
January,WA,2012,53640
February,ACT,2012,8100
February,NSW,2012,220150
February,NT,2012,5250
February,QLD,2012,111560
February,SA,2012,18950
February,TAS,2012,5730
February,Total,2012,565750
February,VIC,2012,133920
February,WA,2012,62100
March,ACT,2012,5080
March,NSW,2012,208720
March,NT,2012,5270
March,QLD,2012,119580
March,SA,2012,16080
March,TAS,2012,3780
March,Total,2012,543830
March,VIC,2012,125040
March,WA,2012,60270
April,ACT,2012,4760
April,NSW,2012,174500
April,NT,2012,5690
April,QLD,2012,109590
April,SA,2012,13990
April,TAS,2012,2520
April,Total,2012,465100
April,VIC,2012,101560
April,WA,2012,52470
May,ACT,2012,3670
May,NSW,2012,143040
May,NT,2012,6530
May,QLD,2012,99980
May,SA,2012,8720
May,TAS,2012,2370
May,Total,2012,393430
May,VIC,2012,87470
May,WA,2012,41660
June,ACT,2012,4340
June,NSW,2012,144940
June,NT,2012,7620
June,QLD,2012,122310
June,SA,2012,10220
June,TAS,2012,2400
June,Total,2012,420510
June,VIC,2012,84970
June,WA,2012,43730
July,ACT,2012,6590
July,NSW,2012,169360
July,NT,2012,11040
July,QLD,2012,147630
July,SA,2012,14090
July,TAS,2012,2220
July,Total,2012,499860
July,VIC,2012,103120
July,WA,2012,45810
August,ACT,2012,5180
August,NSW,2012,176510
August,NT,2012,9380
August,QLD,2012,139920
August,SA,2012,11700
August,TAS,2012,2320
August,Total,2012,498740
August,VIC,2012,104180
August,WA,2012,49540
September,ACT,2012,6030
September,NSW,2012,162790
September,NT,2012,7330
September,QLD,2012,137780
September,SA,2012,12420
September,TAS,2012,2170
September,Total,2012,475470
September,VIC,2012,94080
September,WA,2012,52880
October,ACT,2012,5690
October,NSW,2012,188560
October,NT,2012,7760
October,QLD,2012,136660
October,SA,2012,13310
October,TAS,2012,2890
October,Total,2012,521010
October,VIC,2012,110700
October,WA,2012,55440
November,ACT,2012,5500
November,NSW,2012,205910
November,NT,2012,7300
November,QLD,2012,131390
November,SA,2012,17190
November,TAS,2012,3690
November,Total,2012,560100
November,VIC,2012,125790
November,WA,2012,63340
December,ACT,2012,7920
December,NSW,2012,273250
December,NT,2012,5250
December,QLD,2012,153780
December,SA,2012,25640
December,TAS,2012,6910
December,Total,2012,721320
December,VIC,2012,169900
December,WA,2012,78660
January,ACT,2013,5690
January,NSW,2013,188870
January,NT,2013,4800
January,QLD,2013,102450
January,SA,2013,15230
January,TAS,2013,4760
January,Total,2013,488670
January,VIC,2013,111750
January,WA,2013,55130
February,ACT,2013,8170
February,NSW,2013,238430
February,NT,2013,4710
February,QLD,2013,128250
February,SA,2013,19840
February,TAS,2013,7270
February,Total,2013,616970
February,VIC,2013,146410
February,WA,2013,63900
March,ACT,2013,5010
March,NSW,2013,220950
March,NT,2013,6220
March,QLD,2013,127570
March,SA,2013,18750
March,TAS,2013,4540
March,Total,2013,588870
March,VIC,2013,139930
March,WA,2013,65890
April,ACT,2013,4420
April,NSW,2013,176770
April,NT,2013,9190
April,QLD,2013,103840
April,SA,2013,13660
April,TAS,2013,2710
April,Total,2013,461540
April,VIC,2013,100110
April,WA,2013,50830
May,ACT,2013,4160
May,NSW,2013,154600
May,NT,2013,6330
